Brand,Model,Selling_Price,Year,Owner,KM_Driven
TVS,TVS XL 100,30000,2017,1st owner,8000
Bajaj,Bajaj  ct 100,18000,2017,1st owner,35000
Yo,Yo Style,20000,2011,1st owner,10000
Bajaj,Bajaj Discover 100,25000,2010,1st owner,43000
Bajaj,Bajaj Discover 100,24999,2012,2nd owner,35000
Bajaj,Bajaj Discover 100,20000,2012,1st owner,85000
Bajaj,Bajaj Discover 100,30000,2011,1st owner,45000
Bajaj,Bajaj Discover 100,25000,2010,2nd owner,28000
Bajaj,Bajaj Discover 100,28000,2015,2nd owner,52000
Bajaj,Bajaj Discover 100,22000,2014,1st owner,14289
Bajaj,Bajaj Discover 100,24000,2014,1st owner,31000
Bajaj,Bajaj Discover 100,21000,2009,1st owner,50000
Bajaj,Bajaj Discover 100,23000,2012,1st owner,50000
TVS,TVS Scooty Streak,18000,2009,2nd owner,33595
Honda,Honda Navi [2016-2017],26000,2016,1st owner,17450
Honda,Honda Navi [2016-2017],42000,2017,1st owner,24000
Honda,Honda Navi [2016-2017],23000,2016,1st owner,17450
Mahindra,Mahindra Flyte,22000,2009,3rd owner,20000
Bajaj,Bajaj Discover 100 M,20000,2011,1st owner,37734
Bajaj,Bajaj Discover 100 M,32000,2014,1st owner,30000
Hero,Hero Splendor NXG,18000,2011,1st owner,35000
TVS,TVS Star City,15000,2006,1st owner,40000
Hero,Hero Pleasure [2005-2015],30000,2013,1st owner,25000
Bajaj,Bajaj Discover 100,27000,2015,1st owner,21000
Bajaj,Bajaj Discover 100 T,25000,2013,1st owner,26000
Bajaj,Bajaj Discover 100 T,18000,2013,1st owner,45000
Bajaj,Bajaj Discover 100 T,25000,2014,1st owner,30000
Bajaj,Bajaj Discover 100 T,20000,2013,1st owner,20000
TVS,TVS Star City,21000,2011,1st owner,101000
TVS,TVS Star City,25000,2016,1st owner,50000
Bajaj,Bajaj Discover 125 M,45000,2014,1st owner,40000
Honda,Honda Navi,28000,2016,2nd owner,10000
Mahindra,Mahindra Rodeo,20000,2013,1st owner,7000
Hero,Hero Splender Plus,30000,2018,1st owner,50000
Bajaj,Bajaj Discover 125 M,30000,2014,1st owner,45000
Honda,Honda CB Twister,70000,2014,1st owner,12566
Honda,Honda Dream Neo,45000,2017,2nd owner,21000
Honda,Honda Dream Neo,50000,2014,1st owner,25000
Hero,Hero Maestro,25000,2015,2nd owner,40000
Hero,Hero Maestro,30000,2013,1st owner,60000
Hero,Hero Maestro,50000,2016,1st owner,100000
Yamaha,Yamaha Saluto RX,40000,2017,1st owner,27000
Hero,Hero Pleasure,26500,2013,1st owner,18860
Hero,Hero Pleasure,20000,2012,2nd owner,30000
Hero,Hero Pleasure,30000,2013,1st owner,25000
Hero,Hero Splendor PRO,28000,2015,1st owner,38000
Hero,Hero Splendor PRO,35000,2015,2nd owner,24000
Suzuki,Suzuki Let''s,34000,2014,1st owner,8000
Honda,Honda Activa [2000-2015],22989,2012,1st owner,500000
Honda,Honda Activa [2000-2015],30000,2014,1st owner,52000
Honda,Honda Activa [2000-2015],25000,2014,1st owner,41000
Honda,Honda Activa [2000-2015],20000,2010,1st owner,50000
Honda,Honda Activa [2000-2015],35000,2014,1st owner,10000
Honda,Honda Activa [2000-2015],29500,2013,1st owner,45000
Honda,Honda Activa [2000-2015],10000,2009,1st owner,60000
Honda,Honda Activa [2000-2015],23000,2009,1st owner,95000
Honda,Honda Activa [2000-2015],25000,2009,1st owner,585659
Honda,Honda Activa [2000-2015],22000,2014,1st owner,38000
Honda,Honda Activa [2000-2015],25000,2012,1st owner,40000
Honda,Honda Activa [2000-2015],30000,2012,1st owner,22000
Honda,Honda Activa [2000-2015],35000,2013,1st owner,29500
Honda,Honda Activa [2000-2015],50000,2014,1st owner,48000
Honda,Honda Activa [2000-2015],15000,2006,1st owner,50000
Honda,Honda Activa [2000-2015],16600,2010,1st owner,100000
Honda,Honda Activa [2000-2015],25000,2012,1st owner,38000
Honda,Honda Activa [2000-2015],6000,2006,2nd owner,35000
Honda,Honda Activa [2000-2015],23000,2009,1st owner,95000
Honda,Honda Activa [2000-2015],25000,2015,1st owner,25000
Honda,Honda Activa [2000-2015],25000,2007,1st owner,17860
Honda,Honda Activa [2000-2015],35000,2012,1st owner,29000
Honda,Honda Activa [2000-2015],18000,2011,1st owner,28000
Hero,Hero Duet,45000,2017,1st owner,35000
Hero,Hero Duet,27000,2016,1st owner,28000
Hero,Hero Duet,37000,2016,1st owner,6000
Honda,Honda Activa 4G,48000,2019,1st owner,4300
Honda,Honda Activa 4G,45000,2019,1st owner,4000
Activa,Activa 4g,40000,2019,1st owner,1300
Hero,Hero Honda Passion Pro,30000,2014,1st owner,60000
Honda,Honda CB twister,25000,2015,1st owner,32000
Honda,Honda CB twister,16000,2012,1st owner,33000
Honda,Honda Activa i [2016-2017],30000,2015,2nd owner,20000
Mahindra,Mahindra Gusto,25000,2016,1st owner,13500
Mahindra,Mahindra Gusto,30000,2015,2nd owner,20000
Hero,Hero Pleasure,40000,2014,1st owner,14000
Hero,Hero Pleasure,30000,2013,1st owner,24000
Suzuki,Suzuki Swish [2012-2015],30000,2014,1st owner,30000
Hero,Hero Splendor PRO,35000,2015,2nd owner,24000
Hero,Hero Splendor PRO,40000,2016,1st owner,16000
Hero,Hero Splendor PRO,24000,2011,1st owner,43000
Hero,Hero Splendor PRO,35000,2015,1st owner,35280
TVS,TVS Sport ,48000,2019,1st owner,15000
TVS,TVS Jupyter,35000,2016,1st owner,19000
TVS,TVS Wego,25000,2012,1st owner,22000
Activa,Activa 3g,17000,2010,1st owner,500000
Hero,Hero Splendor iSmart,50000,2017,2nd owner,10000
Hero,Hero Splendor iSmart,40000,2015,1st owner,19055
Hero,Hero Splendor iSmart,40000,2015,1st owner,10000
TVS,TVS Scooty Zest 110,28000,2015,1st owner,32800
Bajaj,Bajaj Discover 110,15000,2007,1st owner,70000
Hero,Hero Maestro Edge,25000,2017,1st owner,55000
Hero,Hero Maestro Edge,55000,2018,1st owner,39000
Yamaha,Yamaha Ray Z,35000,2015,1st owner,15500
Yamaha,Yamaha Ray Z,75000,2017,1st owner,15000
Honda,Honda Activa 4G,45000,2018,1st owner,25000
Honda,Honda Dream Neo,42000,2014,1st owner,21000
Honda,Honda Activa i [2016-2017],40000,2017,1st owner,11000
Honda,Honda Activa i [2016-2017],35000,2016,1st owner,29000
TVS,TVS Scooty Zest 110,30000,2017,1st owner,9432
TVS,TVS Scooty Zest 110,55000,2018,1st owner,380
Hero,Hero Maestro,26500,2016,2nd owner,40000
Honda,Honda CB Twister,18000,2010,1st owner,60000
Honda,Honda CB Twister,30000,2013,1st owner,9000
Honda,Honda CB Twister,25000,2012,1st owner,86000
Honda,Honda Activa i,32000,2013,2nd owner,20696
Honda,Honda Activa i,30000,2014,1st owner,25000
Honda,Honda Dream Yuga ,48000,2019,1st owner,8600
Hero,Hero Splender iSmart,45000,2018,1st owner,14000
Activa,Activa 3g,45000,2018,1st owner,500
Hero,Hero Splender iSmart,40000,2017,1st owner,14000
Hero,Hero Duet,35000,2016,2nd owner,49637
Yamaha,Yamaha Alpha,25000,2015,2nd owner,14000
Bajaj,Bajaj Discover 150,25000,2014,2nd owner,71000
Bajaj,Bajaj Discover 150,30000,2012,1st owner,50000
Bajaj,Bajaj Discover 150,30000,2011,2nd owner,39500
Bajaj,Bajaj Discover 150,25000,2008,1st owner,25000
Bajaj,Bajaj Discover 150,25000,2011,1st owner,52000
Bajaj,Bajaj Discover 150,35000,2015,1st owner,12000
Hero,Hero Passion PRO i3s,55000,2017,1st owner,14600
Hero,Hero Passion PRO i3s,55000,2018,1st owner,15000
Hero,Hero Passion PRO i3s,35000,2016,1st owner,18000
Yamaha,Yamaha Fascino 110,45000,2016,1st owner,56000
Yamaha,Yamaha Fascino 110,38000,2016,1st owner,37000
Hero,Hero Maestro Edge,58000,2018,1st owner,6000
Hero,Hero Passion PRO TR,45000,2014,1st owner,36000
Hero,Hero Passion PRO TR,35000,2014,1st owner,9556
Yamaha,Yamaha YBR 125,36000,2014,1st owner,20400
Yamaha,Yamaha YBR 125,35000,2013,1st owner,20350
Honda,Honda Activa 3G,30000,2015,1st owner,39000
Honda,Honda Activa 3G,60000,2015,1st owner,30000
Honda,Honda Activa 3G,40000,2015,1st owner,3000
Honda,Honda Activa 3G,47999,2016,1st owner,6000
Honda,Honda Activa 3G,42000,2015,1st owner,20000
Honda,Honda Activa 3G,40000,2015,1st owner,7672
Honda,Honda Activa 3G,25000,2011,1st owner,20000
Honda,Honda Activa 3G,45000,2015,1st owner,18000
Honda,Honda Activa 3G,50000,2016,1st owner,5326
Honda,Honda Activa 3G,32000,2015,1st owner,4500
Honda,Honda Activa 3G,35000,2016,1st owner,51000
Honda,Honda Activa 3G,30000,2015,1st owner,18000
Honda,Honda Activa 3G,40000,2016,1st owner,60000
Honda,Honda Activa 3G,40000,2015,1st owner,36000
Honda,Honda Activa 3G,50000,2016,1st owner,6000
TVS,TVS Wego,45000,2018,1st owner,10000
TVS,TVS Wego,15000,2011,1st owner,65000
TVS,TVS Wego,15000,2011,2nd owner,20000
TVS,TVS Victor,20000,2001,1st owner,50000
TVS,TVS Victor,18000,2004,1st owner,46700
TVS,TVS Victor,10000,2005,1st owner,55000
Hero,Hero Passion X pro,50000,2018,1st owner,31000
Hero,Hero Passion Pro,45000,2018,1st owner,1000
Hero,Hero Passion Pro,40000,2017,1st owner,6700
Hero,Hero Splendor Plus i3s,70000,2019,1st owner,3000
Hero,Hero Splendor Plus i3s,65000,2019,1st owner,1000
Hero,Hero Maestro Edge,40000,2017,1st owner,15000
Hero,Hero Maestro Edge,46000,2015,1st owner,14000
Honda,Honda Dream Yuga,25000,2012,1st owner,35000
Honda,Honda Dream Yuga,35000,2014,1st owner,10000
Honda,Honda Dream Yuga,48000,2018,1st owner,7110
Honda,Honda Dream Yuga,25000,2013,1st owner,29000
Honda,Honda Dream Yuga,32000,2017,1st owner,39000
Honda,Honda Dream Yuga,47000,2019,1st owner,8800
Honda,Honda Dream Yuga,35000,2015,1st owner,39448
Honda,Honda Dream Yuga,45000,2017,1st owner,26000
Honda,Honda Dream Yuga,30000,2015,2nd owner,46070
Hero,Hero Passion XPro,28000,2012,1st owner,81000
Hero,Hero Passion PRO i3s,50000,2017,1st owner,41000
Hero,Hero Passion PRO i3s,50000,2017,1st owner,18000
Honda,Honda Activa 125,35000,2018,1st owner,24000
Hero,Hero Glamour,25000,2015,1st owner,18000
Hero,Hero Super Splendor,20000,2007,1st owner,55000
Bajaj,Bajaj Discover 125,20000,2014,2nd owner,25000
Bajaj,Bajaj Discover 125,15000,2013,2nd owner,35000
Yamaha,Yamaha Fascino 110,69000,2019,1st owner,1600
Yamaha,Yamaha Fascino 110,55000,2019,1st owner,7000
Honda,Honda CB Twister,25000,2015,1st owner,35000
Honda,Honda CB Twister,30000,2012,1st owner,50000
Bajaj,Bajaj Discover 125,25000,2013,1st owner,55000
Bajaj,Bajaj Discover 125,15000,2011,1st owner,32000
Bajaj,Bajaj Discover 125,10000,2006,1st owner,51000
Bajaj,Bajaj Discover 125,15000,2011,1st owner,47000
Bajaj,Bajaj Discover 125,26000,2012,1st owner,75000
Bajaj,Bajaj Discover 125,25000,2011,1st owner,70000
Bajaj,Bajaj Discover 125,23000,2011,1st owner,66000
Honda,Honda Activa 5G,60000,2018,1st owner,6502
Honda,Honda Activa 5G,62000,2019,1st owner,3500
Honda,Honda Activa 5G,55000,2019,1st owner,10000
Honda,Honda Activa 5G,42000,2018,1st owner,22000
Honda,Honda Activa 5G,46000,2018,1st owner,10000
Honda,Honda Activa 5G,50000,2018,1st owner,25000
Honda,Honda CB Shine,30000,2015,1st owner,30000
Suzuki,Suzuki Access 125,25000,2010,1st owner,1900
Honda,Honda CB Shine,12000,2009,1st owner,53000
Suzuki,Suzuki Access 125 [2007-2016],25000,2012,1st owner,55000
Suzuki,Suzuki Access 125 [2007-2016],22000,2010,2nd owner,43000
Suzuki,Suzuki Access 125 [2007-2016],16000,2011,1st owner,40000
Suzuki,Suzuki Access 125 [2007-2016],30000,2012,1st owner,23000
Bajaj,Bajaj Discover 125 ST,17500,2013,1st owner,38000
Bajaj,Bajaj Discover 125 ST,25000,2012,1st owner,76000
Yamaha,Yamaha Cygnus Ray ZR,56000,2019,1st owner,3900
Honda,Honda CBF Stunner,35000,2013,1st owner,15888
Honda,Honda CBF Stunner,37000,2014,1st owner,43000
Hero,Hero Passion XPro,45000,2018,1st owner,7000
Bajaj,Bajaj V12,45000,2017,1st owner,35000
Hero,Hero Passion X Pro [2016-2017],38000,2016,2nd owner,20000
Hero,Hero Passion X Pro [2016-2017],42000,2016,1st owner,15500
Honda,Honda Aviator,14000,2008,1st owner,66000
Honda,Honda Aviator,28000,2009,1st owner,29625
Honda,Honda Aviator,30000,2014,1st owner,7000
Honda,Honda Aviator,25000,2012,2nd owner,12000
Honda,Honda Activa 5G,70000,2019,1st owner,3000
Honda,Honda Activa 5G,55000,2019,1st owner,9000
Honda,Honda Activa 5G,50000,2018,1st owner,14000
Honda,Honda Activa 5G,51000,2018,1st owner,14000
Honda,Honda Activa 5G,62000,2019,1st owner,11200
Honda,Honda Activa 5G,65000,2019,1st owner,3025
Hero,Hero Passion XPro,25000,2013,1st owner,25000
Yamaha,Yamaha Saluto,60000,2018,1st owner,13000
Yamaha,Yamaha Saluto,74000,2019,1st owner,13000
Bajaj,Bajaj Discover 125,50000,2016,1st owner,42000
Bajaj,Bajaj Discover 125,25000,2011,1st owner,57000
Bajaj,Bajaj Discover 125,28000,2013,1st owner,45000
Bajaj,Bajaj Discover 125,25000,2016,1st owner,70350
Bajaj,Bajaj Discover 125,38000,2018,1st owner,34000
Bajaj,Bajaj Discover 125,45000,2016,1st owner,20000
Bajaj,Bajaj Discover 125,50000,2018,1st owner,6000
Honda,Honda Aviator,57000,2018,1st owner,6465
Honda,Honda Activa 125 [2016-2017],40000,2017,1st owner,26000
Honda,Honda Activa 125 [2016-2017],55000,2018,1st owner,18000
Honda,Honda Activa 125 [2016-2017],50000,2017,1st owner,27000
Hero,Hero Glamour 125,55000,2017,1st owner,2500
Hero,Hero Glamour 125,45000,2018,1st owner,21000
Hero,Hero Glamour 125,45000,2017,1st owner,18000
Hero,Hero Glamour 125,38000,2016,1st owner,5500
Hero,Hero Glamour 125,40000,2016,1st owner,15000
Hero,Hero Glamour 125,40000,2015,1st owner,71250
